CustomerID,Age,Product,Purchase_Value,Gender_Male,Gender_Unspecified,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_South Africa,Country_UK,Country_USA
CUST00001,39.0,Camera,278.05,True,False,False,False,False,False,False,False,False,True,False
CUST00002,27.0,Mouse,923.75,False,True,False,True,False,False,False,False,False,False,False
CUST00003,62.0,Tablet,455.07,False,False,False,True,False,False,False,False,False,False,False
CUST00004,66.0,Monitor,2543.36,True,False,False,False,False,False,False,False,True,False,False
CUST00005,76.0,Smartwatch,2798.06,False,True,False,False,False,False,False,False,True,False,False
CUST00006,74.0,Speaker,2766.75,False,False,False,False,False,False,True,False,False,False,False
CUST00007,37.0,Smartphone,914.11,False,True,False,False,False,True,False,False,False,False,False
CUST00008,50.0,Camera,910.6,False,True,True,False,False,False,False,False,False,False,False
CUST00009,49.0,Headphones,2554.25,False,True,False,False,False,False,True,False,False,False,False
CUST00010,41.0,Tablet,1491.65,True,False,False,False,False,False,True,False,False,False,False
CUST00011,45.0,Headphones,1203.43,True,False,False,False,False,False,True,False,False,False,False
CUST00012,29.0,Smartphone,276.2,False,False,False,False,False,False,False,False,False,False,False
CUST00013,37.0,Headphones,2291.06,False,True,False,False,False,False,False,False,False,False,True
CUST00014,62.0,Smartwatch,537.72,False,True,False,False,False,False,False,False,True,False,False
CUST00015,41.0,Smartwatch,1602.11,True,False,False,False,False,False,False,False,False,False,False
CUST00016,73.0,Headphones,89.91,False,False,False,False,False,False,False,False,False,False,False
CUST00017,44.0,Monitor,1127.8,False,True,False,False,False,True,False,False,False,False,False
CUST00018,33.0,Smartphone,2237.1,True,False,True,False,False,False,False,False,False,False,False
CUST00019,22.0,Smartphone,2563.89,True,False,False,False,False,False,False,False,False,True,False
CUST00020,50.0,Smartwatch,2621.07,False,True,False,False,False,False,True,False,False,False,False
CUST00021,38.0,Mouse,1711.7,False,False,False,False,False,False,False,False,True,False,False
CUST00022,35.0,Tablet,81.95,True,False,False,False,False,False,False,False,True,False,False
CUST00023,38.0,Headphones,2149.69,False,True,False,True,False,False,False,False,False,False,False
CUST00024,71.0,Smartwatch,2502.73,True,False,False,True,False,False,False,False,False,False,False
CUST00025,77.0,Monitor,2325.24,False,False,False,False,False,False,False,False,False,False,True
CUST00026,31.0,Tablet,2511.62,False,False,False,False,False,True,False,False,False,False,False
CUST00027,19.0,Smartphone,2445.5,False,True,True,False,False,False,False,False,False,False,False
CUST00028,54.0,Keyboard,1893.32,False,False,False,False,False,False,False,False,False,False,False
CUST00029,78.0,Monitor,2248.5,False,True,False,False,False,False,False,True,False,False,False
CUST00030,56.0,Smartphone,2156.13,False,True,False,False,False,False,False,False,True,False,False
CUST00031,21.0,Mouse,2240.9,False,False,False,False,False,False,False,False,False,False,False
CUST00032,47.0,Monitor,2622.43,False,True,False,False,False,False,False,False,True,False,False
CUST00033,33.0,Keyboard,1628.56,True,False,False,False,True,False,False,False,False,False,False
CUST00034,51.0,Headphones,1834.24,True,False,False,False,False,False,True,False,False,False,False
CUST00035,57.0,Keyboard,2114.52,False,False,True,False,False,False,False,False,False,False,False
CUST00036,35.0,Laptop,1729.47,True,False,True,False,False,False,False,False,False,False,False
CUST00037,57.0,Speaker,132.59,False,False,False,False,False,False,False,False,False,False,False
CUST00038,78.0,Smartwatch,1369.64,False,False,False,False,False,False,False,False,True,False,False
CUST00039,70.0,Keyboard,1687.48,False,False,False,False,False,False,True,False,False,False,False
CUST00040,52.0,Tablet,2066.02,True,False,False,False,False,False,False,False,True,False,False
CUST00041,25.0,Laptop,2089.98,False,False,False,False,False,False,False,False,True,False,False
CUST00042,61.0,Smartwatch,2452.97,True,False,False,False,False,False,False,True,False,False,False
